content,file_path
"工薪阶层的女孩子一般都买什么价位的衣服呢？又想漂亮。又不想挨宰。 ,简单的描述是又想漂亮。又不想挨宰。一般都买什么价位的呀,答案是一般里面的配的毛衣呀什么的要质量好点的,200-300,一定要有质地好的包包什么的,鞋子呀什么的都要买好点的.其他就可以随配呀.款式呀可以随流行呀.这样就会级漂亮又实惠.可以去小店里淘,要有眼光哦.
",baike2018qa\baike_qa_train.json
"枪兵穿什么甲?兵器:丧钟甲和头分别是什么好?那个吸血鬼的凝视好象 ,简单的描述是:丧钟甲和头分别是什么好?那个吸血鬼的凝视好象不怎么好,答案是无形安达利尔的面貌镶8#
无形刚毅执政官铠甲
这是最好选择。",baike2018qa\baike_qa_train.json
"电视剧天若有情2的插曲 ,简单的描述是,答案是钟汶的《赔偿》《刺猬》

两首都特别好听哦！！！

赔偿  

刺猬  ",baike2018qa\baike_qa_train.json
"有哪位妈咪知道妈咪爱怎么给孩子吃？孩子便便比较干且粗，现在拉便便 ,简单的描述是便便比较干且粗，现在拉便便带血，请问能用妈咪爱吗？妈咪爱该怎么给孩子吃啊？,答案是你儿子多大了？我女儿5个月，大便不好时我会给她连续吃3天妈咪爱，一天两次，一次半包，分别是上午10左右和下午5：30左右吃，用偏凉温水送服，效果很好。",baike2018qa\baike_qa_train.json
"爱情可以在来一次吗爱情的问题在此我是女孩不是男孩 ,简单的描述是的问题在此我是女孩不是男孩,答案是爱情可以有很多次，但只有一次是你付出的最多的。",baike2018qa\baike_qa_train.json
"圣骑士的问题?圣骑士会不会解读?解读是什么意思?解读会让武器发光 ,简单的描述是圣骑士会不会解读?解读是什么意思?解读会让发光吗?,答案是什么是解读啊，是解毒吗？要是解毒的话是可以的，用纯净术可以解除一个魔法效果，用清洁术可以解除一个魔法效果或者一个中毒效果
好像和武器发光没什么关系吧，发光只能付魔才能",baike2018qa\baike_qa_train.json
"如何人计算电机的负载率一台3000W的电机.额定电压380V,额 ,简单的描述是一台3000W的.额定电压380V,额定电流6A,实际使用过程中电压375V,电流4.7A,这样的数据能算出这只电机的负载率吗?谢谢!,答案是电动机的额定负载就是铭牌上的额定功率，负载率就是实际负载比额定负载。",baike2018qa\baike_qa_train.json
"为什么是国民党接受日本投降，又为什么是何应钦出席？ ,简单的描述是,答案是何应钦当时是中国战区陆军总司令，岗村宁次是对华派遣军总司令，因此何应钦代表中国政府受降是最合适的。此外，中国找不出类似岗村宁次是对华派遣军总司令一职的中国军方将领。这也是蒋介石按照对等原则考虑的产物。
至于为什么是国民党接受日本投降，因为当时的国民党政府是代表全中国的唯一合法政府，而当时的中共政府是中国境内接受国民政府领导的地方政府，显然不适合作为代表全中国乃至中国战区去接受日本投降。

",baike2018qa\baike_qa_train.json
"怀孕37周多了，今天去厕所时发现下面有血，不是特多，稍微有点疼，? ,简单的描述是37周多了，今天去厕所时发现下面有血，不是特多，稍微有点疼，肚子会感觉发紧发硬，想问下怎么回事？,答案是是正常产前假性宫缩。如果有痛经的感觉，离生就不远了。如果见红或者羊水流出要马上去医院。",baike2018qa\baike_qa_train.json
"软件问题？我coreldaw12出现菜单打开后无法收回的问题！修 ,简单的描述是我coreldaw12出现单打开后无法收回的问题！修复还是一样？重新安装也是一样？9.0版本可以用！到底是什么问题？请大家帮帮忙！！！,答案是可在空白处点一下左键即可。这是常规做法。没用过，具体啥问题不知道。",baike2018qa\baike_qa_train.json
